,gname,country_txt,num_attacks,iso_alpha,ctr,country,pdi,idv,mas,uai,ltowvs,ivr
261,Sumud Brigade,Libya,2,LBY,ARA,Arab countries,80,38,53,68,23,34
262,Tripoli Province of the Islamic State,Libya,7,LBY,ARA,Arab countries,80,38,53,68,23,34
263,Central Africa Province of the Islamic State,Tanzania,3,TZA,TAN,Tanzania,#NULL!,#NULL!,#NULL!,#NULL!,34,38
264,East Asia Division of the Islamic State,Indonesia,1,IDN,IDO,Indonesia,78,14,46,48,62,38
265,Jamaah Ansharut Daulah,Indonesia,11,IDN,IDO,Indonesia,78,14,46,48,62,38
266,Jihadi-inspired extremists,Indonesia,3,IDN,IDO,Indonesia,78,14,46,48,62,38
267,Mujahidin Indonesia Timur (MIT),Indonesia,8,IDN,IDO,Indonesia,78,14,46,48,62,38
268,Muslim extremists,Indonesia,1,IDN,IDO,Indonesia,78,14,46,48,62,38
269,Negara Islam Indonesia (NII),Indonesia,1,IDN,IDO,Indonesia,78,14,46,48,62,38
270,Hasam Movement,Egypt,4,EGY,EGY,Egypt,#NULL!,#NULL!,#NULL!,#NULL!,7,4
271,Islamic State in Egypt,Egypt,1,EGY,EGY,Egypt,#NULL!,#NULL!,#NULL!,#NULL!,7,4
272,Muslim Brotherhood,Egypt,2,EGY,EGY,Egypt,#NULL!,#NULL!,#NULL!,#NULL!,7,4
273,Muslim extremists,Egypt,2,EGY,EGY,Egypt,#NULL!,#NULL!,#NULL!,#NULL!,7,4
274,Omar Abdel Rahman Brigade,Egypt,1,EGY,EGY,Egypt,#NULL!,#NULL!,#NULL!,#NULL!,7,4
275,Sinai Province of the Islamic State,Egypt,90,EGY,EGY,Egypt,#NULL!,#NULL!,#NULL!,#NULL!,7,4
276,Jamaat Nusrat al-Islam wal Muslimin (JNIM),Ivory Coast,4,CIV,AFW,Africa West,77,20,46,54,9,78
277,Jihadi-inspired extremists,Australia,2,AUS,AUL,Australia,38,90,61,51,21,71
278,Jihadi-inspired extremists,Azerbaijan,1,AZE,AZE,Azerbaijan,#NULL!,#NULL!,#NULL!,#NULL!,61,22
279,Jihadi-inspired extremists,Jordan,1,JOR,JOR,Jordan,#NULL!,#NULL!,#NULL!,#NULL!,16,43
280,Muslim extremists,Jordan,1,JOR,JOR,Jordan,#NULL!,#NULL!,#NULL!,#NULL!,16,43
281,Jihadi-inspired extremists,Morocco,1,MAR,MOR,Morocco,70,46,53,68,14,25
282,Jihadi-inspired extremists,Netherlands,1,NLD,NET,Netherlands,38,80,14,53,67,68
283,Muslim extremists,Netherlands,1,NLD,NET,Netherlands,38,80,14,53,67,68
284,Jihadi-inspired extremists,Switzerland,1,CHE,SWI,Switzerland,34,68,70,58,74,66
285,Muslim extremists,Norway,2,NOR,NOR,Norway,31,69,8,50,35,55
286,White supremacists/nationalists,Norway,2,NOR,NOR,Norway,31,69,8,50,35,55
287,Pro-Palestinian extremists,Brazil,1,BRA,BRA,Brazil,69,38,49,76,44,59
288,Qimant extremists,Ethiopia,1,ETH,ETH,Ethiopia,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,46
