,gname,country_txt,num_attacks,iso_alpha,ctr,country,pdi,idv,mas,uai,ltowvs,ivr
231,Anti-Semitic extremists,Germany,6,DEU,GER,Germany,35.0,67.0,66.0,65.0,83.0,40.0
232,Jihadi-inspired extremists,Germany,6,DEU,GER,Germany,35.0,67.0,66.0,65.0,83.0,40.0
233,Muslim extremists,Germany,1,DEU,GER,Germany,35.0,67.0,66.0,65.0,83.0,40.0
234,Anti-Muslim extremists,New Zealand,2,NZL,NZL,New Zealand,22.0,79.0,58.0,49.0,33.0,75.0
235,Anti-Muslim extremists,South Africa,2,ZAF,SAF,South Africa,,,,,34.0,63.0
236,Jihadi-inspired extremists,South Africa,4,ZAF,SAF,South Africa,,,,,34.0,63.0
237,uMkhonto we Sizwe Military Veterans Association (MKMVA),South Africa,1,ZAF,SAF,South Africa,,,,,34.0,63.0
238,Anti-Muslim extremists,Spain,1,ESP,SPA,Spain,57.0,51.0,42.0,86.0,48.0,44.0
239,Anti-Muslim extremists,Sweden,1,SWE,SWE,Sweden,31.0,71.0,5.0,29.0,53.0,78.0
240,Anti-Semitic extremists,Sweden,2,SWE,SWE,Sweden,31.0,71.0,5.0,29.0,53.0,78.0
241,Muslim extremists,Sweden,1,SWE,SWE,Sweden,31.0,71.0,5.0,29.0,53.0,78.0
242,Anti-Semitic extremists,Austria,1,AUT,AUT,Austria,11.0,55.0,79.0,70.0,60.0,63.0
243,Jihadi-inspired extremists,Austria,1,AUT,AUT,Austria,11.0,55.0,79.0,70.0,60.0,63.0
244,Muslim extremists,Austria,2,AUT,AUT,Austria,11.0,55.0,79.0,70.0,60.0,63.0
245,Anti-Semitic extremists,France,1,FRA,FRA,France,68.0,71.0,43.0,86.0,63.0,48.0
246,Jihadi-inspired extremists,France,14,FRA,FRA,France,68.0,71.0,43.0,86.0,63.0,48.0
247,Muslim extremists,France,1,FRA,FRA,France,68.0,71.0,43.0,86.0,63.0,48.0
248,Anti-Semitic extremists,Italy,1,ITA,ITA,Italy,50.0,76.0,70.0,75.0,61.0,30.0
249,Anti-Semitic extremists,Russia,1,RUS,RUS,Russia,93.0,39.0,36.0,95.0,81.0,20.0
250,Caucasus Province of the Islamic State,Russia,11,RUS,RUS,Russia,93.0,39.0,36.0,95.0,81.0,20.0
251,Jihadi-inspired extremists,Russia,3,RUS,RUS,Russia,93.0,39.0,36.0,95.0,81.0,20.0
252,Muslim extremists,Russia,1,RUS,RUS,Russia,93.0,39.0,36.0,95.0,81.0,20.0
253,Anti-Semitic extremists,Ukraine,1,UKR,UKR,Ukraine,,,,,86.0,14.0
254,Barqa Province of the Islamic State,Libya,12,LBY,ARA,Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
255,Derna Protection Force (DPF),Libya,4,LBY,ARA,Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
256,Fezzan Province of the Islamic State,Libya,16,LBY,ARA,Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
257,Muslim Brotherhood,Libya,1,LBY,ARA,Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
258,Muslim extremists,Libya,1,LBY,ARA,Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
259,Shura Council of Benghazi Revolutionaries,Libya,3,LBY,ARA,Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
260,Shura Council of Mujahideen in Derna,Libya,3,LBY,ARA,Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
261,Sumud Brigade,Libya,2,LBY,ARA,Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
262,Tripoli Province of the Islamic State,Libya,7,LBY,ARA,Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
263,Central Africa Province of the Islamic State,Tanzania,3,TZA,TAN,Tanzania,,,,,34.0,38.0
264,East Asia Division of the Islamic State,Indonesia,1,IDN,IDO,Indonesia,78.0,14.0,46.0,48.0,62.0,38.0
265,Jamaah Ansharut Daulah,Indonesia,11,IDN,IDO,Indonesia,78.0,14.0,46.0,48.0,62.0,38.0
266,Jihadi-inspired extremists,Indonesia,3,IDN,IDO,Indonesia,78.0,14.0,46.0,48.0,62.0,38.0
267,Mujahidin Indonesia Timur (MIT),Indonesia,8,IDN,IDO,Indonesia,78.0,14.0,46.0,48.0,62.0,38.0
268,Muslim extremists,Indonesia,1,IDN,IDO,Indonesia,78.0,14.0,46.0,48.0,62.0,38.0
269,Negara Islam Indonesia (NII),Indonesia,1,IDN,IDO,Indonesia,78.0,14.0,46.0,48.0,62.0,38.0
270,Hasam Movement,Egypt,4,EGY,EGY,Egypt,,,,,7.0,4.0
271,Islamic State in Egypt,Egypt,1,EGY,EGY,Egypt,,,,,7.0,4.0
272,Muslim Brotherhood,Egypt,2,EGY,EGY,Egypt,,,,,7.0,4.0
273,Muslim extremists,Egypt,2,EGY,EGY,Egypt,,,,,7.0,4.0
274,Omar Abdel Rahman Brigade,Egypt,1,EGY,EGY,Egypt,,,,,7.0,4.0
275,Sinai Province of the Islamic State,Egypt,90,EGY,EGY,Egypt,,,,,7.0,4.0
276,Jamaat Nusrat al-Islam wal Muslimin (JNIM),Ivory Coast,4,CIV,AFW,Africa West,77.0,20.0,46.0,54.0,9.0,78.0
277,Jihadi-inspired extremists,Australia,2,AUS,AUL,Australia,38.0,90.0,61.0,51.0,21.0,71.0
278,Jihadi-inspired extremists,Azerbaijan,1,AZE,AZE,Azerbaijan,,,,,61.0,22.0
279,Jihadi-inspired extremists,Jordan,1,JOR,JOR,Jordan,,,,,16.0,43.0
280,Muslim extremists,Jordan,1,JOR,JOR,Jordan,,,,,16.0,43.0
281,Jihadi-inspired extremists,Morocco,1,MAR,MOR,Morocco,70.0,46.0,53.0,68.0,14.0,25.0
282,Jihadi-inspired extremists,Netherlands,1,NLD,NET,Netherlands,38.0,80.0,14.0,53.0,67.0,68.0
283,Muslim extremists,Netherlands,1,NLD,NET,Netherlands,38.0,80.0,14.0,53.0,67.0,68.0
284,Jihadi-inspired extremists,Switzerland,1,CHE,SWI,Switzerland,34.0,68.0,70.0,58.0,74.0,66.0
285,Muslim extremists,Norway,2,NOR,NOR,Norway,31.0,69.0,8.0,50.0,35.0,55.0
286,White supremacists/nationalists,Norway,2,NOR,NOR,Norway,31.0,69.0,8.0,50.0,35.0,55.0
287,Pro-Palestinian extremists,Brazil,1,BRA,BRA,Brazil,69.0,38.0,49.0,76.0,44.0,59.0
288,Qimant extremists,Ethiopia,1,ETH,ETH,Ethiopia,,,,,,46.0
